#type       avg     std     min      p5     p10     p50     p67     p75     p80     p85     p90     p95     p99    p999   p9999     QPS   target
read      294.4   204.9    74.4   152.8   171.7   278.3   327.6   354.0   372.0   392.7   418.3   459.7   584.3  2027.5  8352.0  30038.4    30000
read      305.3   226.2    74.4   152.1   172.7   290.3   343.0   369.9   388.1   407.7   433.1   473.3   603.7  2259.5  9297.6  30007.6    30010
read      306.7   199.0    80.4   157.1   176.9   293.2   343.8   370.4   388.5   407.9   432.6   472.1   603.3  1992.1  8095.9  30040.8    30020
read      305.8   205.9    86.8   160.0   178.6   291.6   341.4   367.2   384.9   403.6   429.1   468.1   593.8  2197.2  8091.5  30054.9    30030
read      301.9   217.1    80.4   155.6   174.6   285.0   336.0   362.9   381.3   401.7   428.9   470.1   606.7  2069.7  8581.5  30064.9    30040
read      301.9   216.6    74.4   157.9   176.9   284.6   335.4   362.2   380.4   400.4   426.6   467.7   597.1  2109.0  8766.0  30041.2    30050
read      294.7   218.4    74.4   153.1   171.8   275.8   326.9   354.0   372.2   393.2   419.0   460.2   590.0  2214.0  8604.9  30061.8    30060
read      646.1 22198.3    80.4   158.8   178.0   291.6   345.5   374.7   395.2   418.6   448.5   503.3   970.8  6480.8 1576153.9  30097.7    30070
read      324.1   259.2    86.8   159.9   180.4   306.2   357.9   384.3   401.9   423.8   451.9   501.3   700.6  3679.8 10174.5  30085.5    30080
read      308.5   250.5    86.8   157.9   175.5   287.0   339.7   367.6   386.8   407.6   434.1   480.6   641.3  3890.1  8870.4  30158.0    30090
read      309.1   221.8    93.8   161.8   179.0   291.1   343.9   371.5   390.1   410.3   435.0   478.1   620.7  2616.5  8533.0  30056.9    30100
read      301.5   219.7    80.4   159.5   177.1   282.8   333.1   359.9   378.0   398.3   424.4   465.8   614.9  2562.3  8539.6  30196.5    30110
read      301.9   229.7    86.8   158.1   176.3   284.0   334.3   360.6   378.4   398.3   424.5   466.4   614.1  2260.2  8545.7  30129.8    30120
read      307.3   217.1    86.8   156.1   176.0   294.8   344.6   370.1   387.6   406.1   431.6   472.6   602.8  2035.8 10022.5  30169.3    30130
read      303.7   221.1    74.4   147.9   168.7   291.7   342.8   368.6   386.2   404.5   429.8   468.8   597.3  2175.3  8917.5  30044.9    30140
read      297.0   214.7    74.4   155.8   173.8   277.7   330.6   357.9   376.3   397.0   422.9   462.1   589.3  2278.5  8192.3  30184.4    30150
read      302.3   209.9    86.8   156.2   174.8   288.3   339.2   364.8   382.2   401.3   426.5   465.4   586.7  2005.6  8751.1  30071.3    30160
