python3 get_time.py results.json
Job:  parsecblackscholes
Job time:  0:01:47
Job:  parseccanneal
Job time:  0:04:21
Job:  parsecdedup
Job time:  0:00:54
Job:  parsecferret
Job time:  0:06:12
Job:  parsecfreqmine
Job time:  0:02:26
Job:  parsec-splash2x-fft
Job time:  0:00:21
Job:  memcached
Total time: 0:06:19

#type       avg     std     min      p5     p10     p50     p67     p75     p80     p85     p90     p95     p99    p999   p9999     QPS   target
read      287.2   225.1    80.4   151.3   168.0   265.4   314.1   341.1   360.6   382.5   409.7   455.6   587.4  2691.7  9064.2  29994.0    30000
read      286.1   228.1    86.8   151.5   168.5   264.9   314.0   341.2   360.4   381.8   407.6   451.7   579.0  2153.7 10000.9  29995.7    30010
read      319.0   312.7    80.4   152.1   171.2   287.6   341.0   369.4   389.9   414.1   448.2   510.2   789.1  4575.5 11227.9  29928.5    30020
read      308.1   251.6    86.8   155.3   173.3   278.6   330.5   359.9   380.8   404.9   437.9   498.5   743.7  3676.1  8687.4  30081.8    30030
read      311.9   274.5    86.8   155.6   174.7   285.8   338.2   367.2   387.8   411.1   441.1   493.2   670.8  3813.1 10999.7  29992.9    30040
read      321.2   301.8    86.8   160.5   178.4   286.6   338.7   368.1   389.5   414.6   447.7   506.8   862.5  4601.5 10174.4  30035.2    30050
read      307.9   316.4    93.8   155.8   172.0   267.8   317.9   347.5   369.2   394.5   427.5   486.9   920.8  4881.1  9901.2  30010.7    30060
read     1452.3 70865.2    93.8   170.4   194.4   337.2   397.3   430.4   454.7   483.1   521.5   593.2   975.3 15756.6 4983471.3  30081.3    30070
read      293.6   233.4    80.4   149.9   167.4   273.7   323.7   350.7   369.8   391.6   418.8   462.9   609.5  2497.9  9428.1  30104.7    30080
read      286.2   237.0    86.8   154.6   171.0   263.8   311.0   337.4   356.2   377.0   402.6   445.3   576.7  2869.9  8751.9  30090.8    30090
read      296.2   238.3    86.8   154.3   172.8   275.0   324.5   351.8   371.0   393.2   420.9   464.2   602.2  2757.6 10047.4  30030.5    30100
read      293.5   234.3    80.4   150.5   168.8   275.4   324.3   350.4   368.8   389.9   415.8   457.9   586.6  2630.1  9093.0  30201.8    30110
read      287.4   247.4    86.8   152.8   169.5   265.8   313.7   340.3   359.4   380.8   406.3   448.6   577.1  2716.1 10076.2  30082.0    30120
read      282.7   234.2    86.8   147.5   164.3   262.1   310.1   336.4   355.0   375.7   401.4   442.4   568.5  2748.7  9551.3  30081.3    30130
read      297.3   244.8    86.8   154.0   172.0   279.2   328.7   354.5   372.0   392.6   418.2   460.4   585.4  2689.2  9999.8  30166.8    30140
read      287.6   222.6    86.8   150.7   167.5   268.9   318.0   344.7   363.2   383.6   407.7   448.5   567.7  2302.8  8882.8  30145.3    30150
read      282.6   222.4    86.8   150.3   166.7   261.6   309.2   335.9   354.7   375.5   401.2   441.8   571.3  2510.5  8684.9  30157.6    30160
read      293.9   231.9    80.4   147.6   166.0   278.3   327.9   353.4   370.6   390.8   415.6   456.4   580.5  2423.9  9552.1  30191.4    30170
read      286.8   231.5    86.8   149.5   166.2   269.4   317.9   343.3   361.0   380.3   403.6   442.9   559.3  2311.3  9155.5  30143.1    30180
read      283.1   223.1    86.8   150.6   167.1   263.6   311.1   337.2   355.6   376.2   401.3   440.1   550.3  2428.5  8685.8  30173.1    30190
read      270.3   210.0    86.8   146.1   161.8   248.4   293.9   320.1   339.2   360.7   386.9   427.7   547.3  2329.1  8325.1  30216.5    30200
read      290.9   240.4    86.8   148.9   166.3   272.7   321.6   347.7   366.1   386.7   411.4   451.7   575.2  2820.9  8783.2  30179.2    30210
read      293.5   220.7    80.4   150.0   167.8   277.7   326.6   352.2   369.7   390.0   415.1   455.9   577.7  2523.8  8640.5  30257.2    30220
read      293.1   237.6    86.8   151.9   169.5   275.9   324.2   349.3   366.8   386.8   411.1   452.4   579.0  2471.1  9424.8  30244.3    30230
read      291.6   243.9    80.4   150.2   167.7   271.5   320.6   346.6   365.5   386.6   412.5   455.5   589.0  2822.1 10214.3  30254.7    30240
read      296.7   222.5    80.4   146.4   165.7   281.3   331.6   357.4   374.5   395.3   421.9   466.1   603.5  2463.7  8756.4  30250.1    30250
read      276.0   207.9    80.4   148.5   163.8   253.7   300.2   326.9   346.2   369.2   396.9   438.0   562.1  2376.9  8358.6  30281.6    30260
read      277.0   205.8    86.8   149.9   165.3   256.0   303.1   329.4   347.8   369.5   395.6   434.5   554.9  2107.4  8417.6  30299.4    30270
read      283.8   234.5    86.8   145.8   162.9   264.4   313.3   339.5   358.0   378.3   403.1   444.9   571.3  2750.0  8996.5  30300.3    30280
read      275.1   219.6    86.8   149.0   164.0   252.6   298.9   325.9   345.0   366.7   393.1   432.4   554.6  2657.8  8625.4  30304.4    30290
read      291.6   212.9    80.4   150.7   168.0   274.2   324.1   350.3   368.4   389.0   414.0   455.3   578.6  2503.8  8448.7  30270.2    30300
read      296.4   218.9    86.8   154.3   172.9   279.7   328.3   353.8   371.5   392.1   418.0   460.7   586.6  2339.7  8716.9  30247.2    30310
read      288.6   226.3    86.8   151.1   168.0   269.6   317.7   343.4   361.7   382.3   407.1   450.0   581.2  2384.4  8740.9  30397.4    30320
